FsRtlOplockBreakToNone                                00000001401B97F8 472    
FsRtlOplockBreakToNoneEx                              00000001401B9830 473    
FsRtlOplockFsctrl                                     000000014046D5BC 474    
FsRtlOplockFsctrlEx                                   000000014046B5D0 475    
FsRtlOplockIsFastIoPossible                           00000001404D9778 476    
FsRtlOplockIsSharedRequest                            00000001404E591C 477    
FsRtlOplockKeysEqual                                  00000001401231E4 478    
FsRtlPostPagingFileStackOverflow                      00000001401BA924 479    
FsRtlPostStackOverflow                                00000001401BA92C 480    
FsRtlPrepareMdlWrite                                  00000001404FFD8C 481    
FsRtlPrepareMdlWriteDev                               000000014062093C 482    
FsRtlPrepareMdlWriteEx                                00000001404FFD20 483    
FsRtlPrepareToReuseEcp                                000000014061FCE8 484    
FsRtlPrivateLock                                      0000000140004908 485    
FsRtlProcessFileLock                                  0000000140120730 486    
FsRtlQueryCachedVdl                                   00000001404F49CC 487    
FsRtlQueryInformationFile                             000000014062136C 488    
FsRtlQueryKernelEaFile                                00000001404E236C 489    
FsRtlQueryMaximumVirtualDiskNestingLevel              0000000140138020 490    
FsRtlRegisterFileSystemFilterCallbacks                000000014013755C 491    
FsRtlRegisterFltMgrCalls                              0000000140565450 492    
FsRtlRegisterMupCalls                                 0000000140565448 493    
FsRtlRegisterUncProvider                              0000000140620D94 494    
FsRtlRegisterUncProviderEx                            0000000140620DCC 495    
FsRtlRegisterUncProviderEx2                           000000014055C4C8 496    
FsRtlReleaseEofLock                                   0000000140008D20 497    
FsRtlReleaseFile                                      0000000140464880 498    
FsRtlReleaseFileNameInformation                       00000001404FE920 499    
FsRtlReleaseHeaderMutex                               0000000140049330 500    
